"";"n";"fig1_main_rows_removed";"fig1c_lr_cleaned";"mon6_dg";"nork62398";"p6_smith_dg";"shep_071795";"unknown26"
"168";167;1,00393700787402;0,0824175824175824;0,839285714285714;0,183333333333333;0,326388888888889;NA;0,046875
"169";168;1,00393700787402;0,0934065934065934;0,839285714285714;0,15;0,326388888888889;NA;0,0885416666666667
"170";169;1,00393700787402;0,115384615384615;0,863095238095238;0,116666666666667;0,479166666666667;NA;0,0885416666666667
"171";170;1,00393700787402;0,0714285714285714;0,863095238095238;0,183333333333333;0,479166666666667;NA;0,0572916666666667
"172";171;1,00393700787402;0,104395604395604;0,803571428571429;0,183333333333333;0,465277777777778;NA;0,046875
"173";172;1,00393700787402;0,0934065934065934;0,779761904761905;0,116666666666667;0,354166666666667;NA;0,0572916666666667
"174";173;1,00393700787402;0,104395604395604;0,767857142857143;0,183333333333333;0,229166666666667;NA;0,0364583333333333
"175";174;1,00393700787402;0,115384615384615;0,767857142857143;0,183333333333333;0,229166666666667;NA;0,00520833333333333
"176";175;1,00393700787402;0,0824175824175824;0,767857142857143;0,15;0,270833333333333;NA;0,00520833333333333
"177";176;1,00393700787402;0,0494505494505495;0,755952380952381;0,116666666666667;0,340277777777778;NA;0,00520833333333333
"178";177;1,00393700787402;0,0274725274725275;0,803571428571429;0,116666666666667;0,340277777777778;NA;0,00520833333333333
"179";178;1,00393700787402;0,0164835164835165;0,839285714285714;0,0833333333333333;0,409722222222222;NA;0,00520833333333333
"180";179;1,00393700787402;0,00549450549450549;0,863095238095238;0,0833333333333333;0,423611111111111;NA;0,00520833333333333
"181";180;1,00393700787402;0,00549450549450549;0,827380952380952;0,0833333333333333;0,340277777777778;NA;0,00520833333333333
"182";181;1,00393700787402;0,00549450549450549;0,827380952380952;0,15;0,368055555555556;NA;0,00520833333333333
"183";182;1,00393700787402;0,00549450549450549;0,732142857142857;0,0166666666666667;0,368055555555556;NA;0,015625
"184";183;1,00393700787402;0,00549450549450549;0,541666666666667;0,0833333333333333;0,451388888888889;NA;0,0260416666666667
"185";184;1,00393700787402;0,00549450549450549;0,482142857142857;0,05;0,4375;NA;0,0260416666666667
"186";185;1,00393700787402;0,00549450549450549;0,434523809523809;0,0833333333333333;0,368055555555556;NA;0,0572916666666667
"187";186;1,00393700787402;0,00549450549450549;0,458333333333333;0,116666666666667;0,381944444444444;NA;0,0572916666666667
"188";187;1,00393700787402;0,0494505494505495;0,446428571428571;0,0833333333333333;0,381944444444444;NA;0,0364583333333333
"189";188;1,00393700787402;0,0494505494505495;0,398809523809524;0,0833333333333333;0,381944444444444;NA;0,00520833333333333
"190";189;1,00393700787402;0,0494505494505495;0,410714285714286;0,0833333333333333;0,256944444444444;NA;0,00520833333333333
"191";190;1,00393700787402;0,0274725274725275;0,434523809523809;0,05;0,368055555555556;NA;0,00520833333333333
"192";191;1,00393700787402;0,00549450549450549;0,446428571428571;0,0833333333333333;0,368055555555556;NA;0,00520833333333333
"193";192;1,00393700787402;0,00549450549450549;0,482142857142857;0,05;0,326388888888889;NA;0,00520833333333333
"194";193;1,00393700787402;0,0384615384615385;0,56547619047619;0,05;0,256944444444444;NA;0,0364583333333333
"195";194;1,00393700787402;0,0164835164835165;0,636904761904762;0,05;0,3125;NA;0,00520833333333333
"196";195;1,00393700787402;0,0604395604395604;0,696428571428571;0,05;0,284722222222222;NA;0,00520833333333333
"197";196;1,00393700787402;0,0494505494505495;0,696428571428571;0,0833333333333333;0,3125;NA;0,00520833333333333
"198";197;1,00393700787402;0,0274725274725275;0,636904761904762;0,0833333333333333;0,423611111111111;NA;0,00520833333333333
"199";198;1,00393700787402;0,0824175824175824;0,68452380952381;0,05;0,451388888888889;NA;0,00520833333333333
"200";199;1,00393700787402;0,104395604395604;0,660714285714286;0,05;0,409722222222222;NA;0,00520833333333333
"201";200;1,00393700787402;0,0934065934065934;0,68452380952381;0,0833333333333333;0,409722222222222;NA;0,00520833333333333
"202";201;1,00393700787402;0,115384615384615;0,767857142857143;0,0833333333333333;0,4375;NA;0,00520833333333333
"203";202;1,00393700787402;0,0934065934065934;0,803571428571429;0,05;0,493055555555556;NA;0,00520833333333333
"204";203;1,00393700787402;0,0824175824175824;0,791666666666667;0,0166666666666667;0,506944444444444;NA;0,00520833333333333
"205";204;1,00393700787402;0,0714285714285714;0,81547619047619;0,0833333333333333;0,451388888888889;NA;0,00520833333333333
"206";205;1,00393700787402;0,0714285714285714;0,803571428571429;0,116666666666667;0,354166666666667;NA;0,00520833333333333
"207";206;1,00393700787402;0,0384615384615385;0,803571428571429;0,0833333333333333;0,340277777777778;NA;0,00520833333333333
"208";207;1,00393700787402;0,00549450549450549;0,779761904761905;0,0833333333333333;0,368055555555556;NA;0,00520833333333333
"209";208;1,00393700787402;0,00549450549450549;0,779761904761905;0,0833333333333333;0,326388888888889;NA;0,0364583333333333
